date,team1,team2,winner
5/3/2009,Royal Challengers Bangalore,Mumbai Indians,Royal Challengers Bangalore
5/4/2009,Chennai Super Kings,Deccan Chargers,Chennai Super Kings
5/5/2009,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals
5/5/2009,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils
5/6/2009,Deccan Chargers,Mumbai Indians,Deccan Chargers
5/7/2009,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals
5/7/2009,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
5/8/2009,Delhi Daredevils,Mumbai Indians,Delhi Daredevils
5/9/2009,Deccan Chargers,Kings XI Punjab,Kings XI Punjab
5/9/2009,Chennai Super Kings,Rajasthan Royals,Chennai Super Kings
5/10/2009,Royal Challengers Bangalore,Mumbai Indians,Mumbai Indians
5/10/2009,Delhi Daredevils,Kolkata Knight Riders,Delhi Daredevils
5/11/2009,Deccan Chargers,Rajasthan Royals,Deccan Chargers
5/12/2009,Royal Challengers Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore
5/12/2009,Kings XI Punjab,Mumbai Indians,Mumbai Indians
5/13/2009,Deccan Chargers,Delhi Daredevils,Delhi Daredevils
5/14/2009,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
5/14/2009,Mumbai Indians,Rajasthan Royals,Rajasthan Royals
5/15/2009,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab
5/16/2009,Chennai Super Kings,Mumbai Indians,Chennai Super Kings
5/16/2009,Deccan Chargers,Kolkata Knight Riders,Deccan Chargers
5/17/2009,Deccan Chargers,Kings XI Punjab,Kings XI Punjab
5/17/2009,Delhi Daredevils,Rajasthan Royals,Delhi Daredevils
5/18/2009,Chennai Super Kings,Kolkata Knight Riders,Kolkata Knight Riders
5/19/2009,Royal Challengers Bangalore,Delhi Daredevils,Royal Challengers Bangalore
5/20/2009,Kolkata Knight Riders,Rajasthan Royals,Kolkata Knight Riders
5/20/2009,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings
5/21/2009,Delhi Daredevils,Mumbai Indians,Delhi Daredevils
5/21/2009,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore
5/22/2009,Delhi Daredevils,Deccan Chargers,Deccan Chargers
5/23/2009,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore
5/24/2009,Royal Challengers Bangalore,Deccan Chargers,Deccan Chargers
3/12/2010,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders
3/13/2010,Mumbai Indians,Rajasthan Royals,Mumbai Indians
3/13/2010,Kings XI Punjab,Delhi Daredevils,Delhi Daredevils
3/14/2010,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders
3/14/2010,Chennai Super Kings,Deccan Chargers,Deccan Chargers
3/15/2010,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils
3/16/2010,Royal Challengers Bangalore,Kings XI Punjab,Royal Challengers Bangalore
3/16/2010,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings
3/17/2010,Delhi Daredevils,Mumbai Indians,Mumbai Indians
3/18/2010,Royal Challengers Bangalore,Rajasthan Royals,Royal Challengers Bangalore
3/19/2010,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings
3/19/2010,Deccan Chargers,Kings XI Punjab,Deccan Chargers
3/20/2010,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals
